Text,author
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson
Some people never go crazy. What truly horrible lives they must lead.,Charles Bukowski
The trouble with having an open mind of course is that people will insist on coming along and trying to put things in it.,Terry Pratchett
Think left and think right and think low and think high. Oh the thinks you can think up if only you try!,Dr. Seuss
What really knocks me out is a book that when you're all done reading it you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much though.,J.D. Salinger
The reason I talk to myself is because Im the only one whose answers I accept.,George Carlin
You may say I'm a dreamer but I'm not the only one. I hope someday you'll join us. And the world will live as one.,John Lennon
I am free of all prejudice. I hate everyone equally. ,W.C. Fields
The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand
Classic  a book which people praise and don't read.,Mark Twain
